professor_name,department_name,state_name,star_rating,edugood_rating,eduaproval
Jim  Pletcher,Political Science department,"Forest Park, Bhubaneswar",3.6,36,NAY
Anita  Hampton,Biology department,"Ashok Nagar, Bhubaneswar",2.2,11,NAY
Panos  Alexakos,Philosophy department,"Kharvela Nagar, Bhubaneswar",4.1,16.4,NAY
Jeffrey  Kent,Biology department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",3.7,18.5,NAY
Bill  Sanders,Computer Science department,"Lumbini Vihar, Neeladri Vihar, Chandrasekharpur, Bhubaneswar",2.1,18.9,NAY
Angelica  Vessella,Fine Arts department,"kiit koel campus, Patia, Bhubaneswar",4.4,39.6,NAY
Ian  Gellatly,Business department,"Janpath Rd, Master Canteen Area, Kharvela Nagar, Bhubaneswar",3,36,NAY
Karen  Carr,Writing department,"kiit koel campus, Patia, Bhubaneswar",3.3,26.4,NAY
Wayne Charles  Hippo,Business department,"Satya Nagar, Bhubaneswar",4.5,9,NAY
Sue  Davis,Political Science department,"Forest Park, Bhubaneswar",3.5,45.5,NAY
Melody  Ward,Fine Arts department,"kiit koel campus, Patia, Bhubaneswar",4.9,14.7,NAY
Sharon  Teague,History department,"kiit koel campus, Patia, Bhubaneswar",2.3,6.9,NAY
Carol  McClure,Biology department,"Barang Station, Barang, Bhubaneswar",2.5,7.5,NAY
Vincent  Sherry,English department,"Satya Nagar, Bhubaneswar",3.3,6.6,NAY
Charles  Cherry,English department,"Satya Nagar, Bhubaneswar",4.2,63,NAY
Ionna  Ghenciu,Mathematics department,"Airport Rd, Aerodrome Area, Bhubaneswar",3.6,14.4,NAY
Joann  Hilton,English department,"Acharya Vihar, Doordarshan Colony, Gajapati Nagar, Bhubaneswar",4.5,9,NAY
Paul  Grobstein,Biology department,"Satya Nagar, Bhubaneswar",3.5,31.5,NAY
Penny  Foster,Computer Science department,"Acharya Vihar, Doordarshan Colony, Gajapati Nagar, Bhubaneswar",3,39,NAY
Dennis  Crockett,Fine Arts department,"Prakriti Tower,Patia, Bhubaneswar, ",4.7,65.8,NAY
Thomas  Boyle,English department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",2.9,20.3,NAY
Kurt  Panter,Science department,"Forest Park, Bhubaneswar",3.1,43.4,NAY
Itzhak  Kerstein,Languages department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",4.2,46.2,NAY
Alvin  Snadowsky,Psychology department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",4.5,31.5,NAY
Ian  McMahan,Psychology department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",3.5,24.5,NAY
Charles  Green,Sociology department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",2.3,13.8,NAY
Matthew  Erdelyi,Psychology department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",2.6,7.8,NAY
Harihar  Khanal,Mathematics department,"Kharvela Nagar, Bhubaneswar",2.9,26.1,NAY
Robert  Brannon,Psychology department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",4.1,4.1,NAY
Robert  Lecker,English department,baramunda,2.7,16.2,NAY
Weinberger,Psychology department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",3.8,7.6,NAY
Daniel  Kurylo,Psychology department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",3.3,16.5,NAY
Andrew  Delamater,Psychology department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",3.2,25.6,NAY
Israel  Abramov,Psychology department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",2.8,14,NAY
John  MacKo,Engineering department,"Satya Nagar, Bhubaneswar",3.9,11.7,NAY
Aaron  Kozbelt,Psychology department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",4.7,42.3,NAY
Dorathea  Halpert,Psychology department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",2.3,4.6,NAY
Phillip  Anz-Meador,Physics department,"Bidyut Marg, Nuasahi, Nayapalli, Bhubaneswar",3.9,15.6,NAY
Thomas  Pynadath,Chemistry department,"Forest Park, Bhubaneswar",1.8,7.2,NAY
Solomon  Eisenberg,Engineering department,"barapita,odisha",1.8,3.6,NAY
Kenneth  Loparo,Electrical Engineering department,"Forest Park, Bhubaneswar",3.8,57,NAY
Thomas  Hirschl,International Studies department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",3,27,NAY
Michael  Scanlin,Science department,"Satya Nagar, Bhubaneswar",4.3,55.9,NAY
Peter  Jurs,Chemistry department,"Satya Nagar, Bhubaneswar",3.2,9.6,NAY
Ryan  Stark,English department,"Satya Nagar, Bhubaneswar",4.8,28.8,NAY
Ashraf  Shirani,Business department,"Barang Station, Barang, Bhubaneswar",3.5,31.5,NAY
Martha  Browne,Mathematics department,"Barang Station, Barang, Bhubaneswar",2.4,12,NAY
Jean  Craig-Teerlink,Graphic Arts department,"Barang Station, Barang, Bhubaneswar",2.9,20.3,NAY
Donna  Chambers,Languages department,"Satya Nagar, Bhubaneswar",4.8,14.4,NAY
Kathy  Brooks,Computer Science department,"Prakriti Tower,Patia, Bhubaneswar, ",5,10,NAY
Tom  Johnson,Journalism department,"Barang Station, Barang, Bhubaneswar",2.5,5,NAY
John  Moliassa,Mathematics department,"Bindu Sagar, Old Town, Bhubaneswar",4.3,30.1,NAY
Roger  Strong,Biology department,"Airport Rd, Aerodrome Area, Bhubaneswar",3.5,10.5,NAY
Carl  Pratt,Biology department,"Satya Nagar, Bhubaneswar",4.3,38.7,NAY
Mary  Winn,Psychology department,"Satya Nagar, Bhubaneswar",3.1,40.3,NAY
Deidre  Condit,Political Science department,"Infocity Ave, P.S.- New Capital, Patia, Bhubaneswar",3.6,25.2,NAY
Marlos  Scrimger,Geography department,"Bindu Sagar, Old Town, Bhubaneswar",4.3,43,NAY
Thomas  Cooke,Geography department,"Lumbini Vihar, Neeladri Vihar, Chandrasekharpur, Bhubaneswar",3.2,19.2,NAY
Lashun  Griffin,English department,"Airport Rd, Aerodrome Area, Bhubaneswar",3,6,NAY
Ellis  Jones,Sociology department,"Barang Station, Barang, Bhubaneswar",4.4,48.4,NAY
Peter  Kuhlman,Chemistry department,"Forest Park, Bhubaneswar",4.8,67.2,NAY
Vike,Social Science department,"Satya Nagar, Bhubaneswar",4.1,12.3,NAY
Desmond  Hamlet,English department,"Forest Park, Bhubaneswar",2.7,5.4,NAY
Eric  Winters,Health Science department,"Forest Park, Bhubaneswar",3.6,46.8,NAY
Orlando  Pascoa,Psychology department,"Barang Station, Barang, Bhubaneswar",4.8,14.4,NAY
Melissa  Knous,English department,"Airport Rd, Aerodrome Area, Bhubaneswar",4.8,9.6,NAY
Kathryn  Denning,Anthropology department,"Gandamunda, Pokhariput, Bhubaneswar",4.1,24.6,NAY
Darcy  Irvin,English department,"Barang Station, Barang, Bhubaneswar",4.2,21,NAY
Paul  Bender,English department,"Forest Park, Bhubaneswar",3.1,9.3,NAY
Burlon  Wilkerson,Fine Arts department,"Airport Rd, Aerodrome Area, Bhubaneswar",2.6,31.2,NAY
Carol  Bennet,English department,"Bindu Sagar, Old Town, Bhubaneswar",4.3,25.8,NAY
Kristen  Asplin,Psychology department,"Satya Nagar, Bhubaneswar",4.5,31.5,NAY
Kate  Greene,Political Science department,"Maitre Vihar Rd, Maitri Vihar, NALCO Nagar, Chandrasekharpur, Bhubaneswar",4,52,NAY
Carey  Hissey,Graphic Arts department,"Maitre Vihar Rd, Maitri Vihar, NALCO Nagar, Chandrasekharpur, Bhubaneswar",4.4,35.2,NAY
David  Pearson,Accounting department,"Forest Park, Bhubaneswar",3.8,22.8,NAY
Chris  Ramsey,Fine Arts department,"Maitre Vihar Rd, Maitri Vihar, NALCO Nagar, Chandrasekharpur, Bhubaneswar",3.3,42.9,NAY
David  Rayson,History department,"Lazystay Grand,Biggies Berger Building, KIIT Rd, near Axis Bank, Patia, Bhubaneswar",4.7,14.1,NAY
Arthur  Kroker,Political Science department,"JSS Software Tech Park, B Block, Chandaka Industrial Estate, Infocity, Chandrasekharpur, Bhubaneswar",3.9,46.8,NAY
Ted  Tarkow,Humanities department,"BMC Bhawani Mall, Maharishi College Rd, Saheed Nagar, Bhubaneswar",4.5,54,NAY
Max  Smith,English department,"Lazystay Grand,Biggies Berger Building, KIIT Rd, near Axis Bank, Patia, Bhubaneswar",3.8,7.6,NAY
Jeff  Price,Graphic Arts department,"Maitre Vihar Rd, Maitri Vihar, NALCO Nagar, Chandrasekharpur, Bhubaneswar",3.3,19.8,NAY
Lowell  Taylor,Economics department,"Satya Nagar, Bhubaneswar",4.7,37.6,NAY
James  Davig,Accounting department,"Airport Rd, Aerodrome Area, Bhubaneswar",2,16,NAY
Brenda  Nordenstam,Social Science department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",1.2,6,NAY
Colin  Jerolmack,Sociology department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",4.8,9.6,NAY
Ian  Wojcik-Andrews,Childrens Literature department,"Bindu Sagar, Old Town, Bhubaneswar",3.7,14.8,NAY
Daniel  Laskarin,Visual Arts department,"JSS Software Tech Park, B Block, Chandaka Industrial Estate, Infocity, Chandrasekharpur, Bhubaneswar",3.8,49.4,NAY
Amin  Ibrahim,Chemistry department,"Airport Rd, Aerodrome Area, Bhubaneswar",4,44,NAY
Lynne  Schubert,Communication department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, Bhubaneswar",1.4,4.2,NAY
Christopher  Bracken,English department,"Janpath Rd, Master Canteen Area, Kharvela Nagar, Bhubaneswar",3,12,NAY
Kim  Finn,Psychology department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, Bhubaneswar",4.5,49.5,NAY
Rose  Vydelingum,Humanities department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, Bhubaneswar",2.8,14,NAY
Robert  Christie,Humanities department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, Bhubaneswar",3,24,NAY
Kenneth  Riegle,Biology department,"Barang Station, Barang, Bhubaneswar",3.1,15.5,NAY
Anthony  Zoccolilo,Psychology department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, Bhubaneswar",4.3,17.2,NAY
George  Curry,Architecture department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",4.5,31.5,NAY
Scott  Bergeson,Physics department,"Chandrasekharpur, Bhubaneswar",4,12,NAY
Guy  King,Geography department,"Barang Station, Barang, Bhubaneswar",3.9,42.9,NAY
Debra  Clarke,English department,"JSS Software Tech Park, B Block, Chandaka Industrial Estate, Infocity, Chandrasekharpur, Bhubaneswar",4.5,63,NAY
Leah  Kaser,English department,"JSS Software Tech Park, B Block, Chandaka Industrial Estate, Infocity, Chandrasekharpur, Bhubaneswar",3.5,45.5,NAY
Irv  Englander,Computer Science department,"barapita,odisha",3.2,35.2,NAY
Husam  Quereshi,Mathematics department,"Barang Station, Barang, Bhubaneswar",4,16,NAY
Burkard  Eberlein,Political Science department,"Gandamunda, Pokhariput, Bhubaneswar",3.6,46.8,NAY
Ananya  Mukherjee Reed,Political Science department,"Gandamunda, Pokhariput, Bhubaneswar",3.3,42.9,NAY
Mason  Dykstra,Geology department,"Barang Station, Barang, Bhubaneswar",3,6,NAY
Mustafa  Karakul,Management department,"Gandamunda, Pokhariput, Bhubaneswar",3.8,41.8,NAY
Hassan  Qudrat-Ullah,Management department,"Gandamunda, Pokhariput, Bhubaneswar",2.6,28.6,NAY
Lorra  Weatherspoon,Not Specified department,"Bindu Sagar, Old Town, Bhubaneswar",4.5,18,NAY
Danilo  Fernando,Science department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",3.1,46.5,NAY
Todd  Comer,English department,"Bindu Sagar, Old Town, Bhubaneswar",2.8,25.2,NAY
Martha  McCluskey,Law department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",1.6,17.6,NAY
Jon  Vredevoogd,Design department,"Bindu Sagar, Old Town, Bhubaneswar",3.6,25.2,NAY
William  Addeo,Mathematics department,"Acharya Vihar, Doordarshan Colony, Gajapati Nagar, Bhubaneswar",2,12,NAY
Robert  Bender,Business department,"Airport Rd, Aerodrome Area, Bhubaneswar",4.8,19.2,NAY
Kathleen  Sinning,Accounting department,"Bindu Sagar, Old Town, Bhubaneswar",4.7,42.3,NAY
Robert  Dinero,Social Science department,"Satya Nagar, Bhubaneswar",1.6,19.2,NAY
Carole  Waterhouse,English department,"Satya Nagar, Bhubaneswar",4.4,52.8,NAY
Joan  Lobo,Finance department,"Gandamunda, Pokhariput, Bhubaneswar",3.3,29.7,NAY
Frank  Giarratani,Economics department,"Satya Nagar, Bhubaneswar",3.8,30.4,NAY
Darlene  Schoenly,Education department,"Satya Nagar, Bhubaneswar",4.1,16.4,NAY
George  Williams,Computer Science department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",3,6,NAY
Kathleen  Ochshorn,English department,"Kharvela Nagar, Bhubaneswar",4.1,57.4,NAY
Margaret  Sweet,Psychology department,"Bindu Sagar, Old Town, Bhubaneswar",3.6,10.8,NAY
Greta  Vollmer,English department,"Barang Station, Barang, Bhubaneswar",3.2,32,NAY
Mark  Liff,Physics department,"Satya Nagar, Bhubaneswar",3.3,36.3,NAY
Lynn  Curtright,History department,"Kharvela Nagar, Bhubaneswar",3.1,12.4,NAY
Rex  Abert,Mathematics department,"Kharvela Nagar, Bhubaneswar",3.7,7.4,NAY
Liz  Dameron,Mathematics department,"Kharvela Nagar, Bhubaneswar",4.8,24,NAY
Matthew  Unger,Theology department,"Kharvela Nagar, Bhubaneswar",4.8,33.6,NAY
Andrea  Neves,Education department,"Barang Station, Barang, Bhubaneswar",2.3,13.8,NAY
Manuel  Daniels,Biology department,"Kharvela Nagar, Bhubaneswar",2.9,8.7,NAY
Jennifer  Jossendal,History department,"Chandaka Industrial Estate, K I I T University, Patia, Bhubaneswar",3.1,21.7,NAY
Griswold,History department,"Chandaka Industrial Estate, K I I T University, Patia, Bhubaneswar",1.8,10.8,NAY
Laurie  Folgate,Biology department,"Chandaka Industrial Estate, K I I T University, Patia, Bhubaneswar",2,0,NAY
John  Bland,Psychology department,"Chandaka Industrial Estate, K I I T University, Patia, Bhubaneswar",5,5,NAY
Morna  Livingston,Architecture department,"Satya Nagar, Bhubaneswar",2.3,20.7,NAY
Steve  Grout,History department,"Satya Nagar, Bhubaneswar",4.6,32.2,NAY
Robert  Coleman-Senghor,English department,"Barang Station, Barang, Bhubaneswar",2.9,11.6,NAY
John  Burk,Mathematics department,"Satya Nagar, Bhubaneswar",4.9,44.1,NAY
Norma  Thompson,Humanities department,"Lumbini Vihar, Neeladri Vihar, Chandrasekharpur, Bhubaneswar",3.8,3.8,NAY
Patrick  Hersey,Culinary Arts department,"Gandamunda, Pokhariput, Bhubaneswar",4.1,57.4,NAY
Gabrielle  Michaelis,Mathematics department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, Bhubaneswar",4.7,32.9,NAY
Carol  Solon,Humanities department,"Lumbini Vihar, Neeladri Vihar, Chandrasekharpur, Bhubaneswar",4.4,30.8,NAY
Pantaleon  Pangelinan Jr,Business department,"Barang Station, Barang, Bhubaneswar",4.5,9,NAY
Tim  Wandling,English department,"Barang Station, Barang, Bhubaneswar",3.3,42.9,NAY
Sparkle  Raymond,Business department,"Infocity Ave, P.S.- New Capital, Patia, Bhubaneswar",5,10,NAY
Fred  Stewart,Journalism department,"Airport Rd, Aerodrome Area, Bhubaneswar",4.4,57.2,NAY
David  Gallaher,Chemistry department,"Satya Nagar, Bhubaneswar",3.8,53.2,NAY
Roberta  Nye,Communication department,"Satya Nagar, Bhubaneswar",2.5,15,NAY
Kenny  Peters,Mathematics department,"Satya Nagar, Bhubaneswar",3.3,46.2,NAY
Jj  Wilson,English department,"Barang Station, Barang, Bhubaneswar",4.3,12.9,NAY
Laura  Colbert,Theater department,"Chandaka Industrial Estate, K I I T University, Patia, Bhubaneswar",3,33,NAY
Paul  Nacozy,Computer Science department,"Airport Rd, Aerodrome Area, Bhubaneswar",1.7,10.2,NAY
Vic  Timmer,Geography department,"Gandamunda, Pokhariput, Bhubaneswar",3.2,9.6,NAY
John  Curran,Theater department,"Chandaka Industrial Estate, K I I T University, Patia, Bhubaneswar",4.8,19.2,NAY
Craig  Stettner,Biology department,"Chandaka Industrial Estate, K I I T University, Patia, Bhubaneswar",3.9,11.7,NAY
Todd  Ballantyne,Communication department,"Chandaka Industrial Estate, K I I T University, Patia, Bhubaneswar",4.7,14.1,NAY
Linda  Burns,Women\'s Studies department,"Satya Nagar, Bhubaneswar",2.6,26,NAY
Richard  Wilkins,Law department,"Chandrasekharpur, Bhubaneswar",2.5,10,NAY
Tressa  Crehan,Theater department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",4.4,52.8,NAY
Richard  Burns,Mathematics department,"barapita,odisha",5,20,NAY
Jeffrey  Sawyer,History department,"Acharya Vihar, Doordarshan Colony, Gajapati Nagar, Bhubaneswar",3.7,44.4,NAY
Rhoda  Jost,Biology department,"Kharvela Nagar, Bhubaneswar",2.9,29,NAY
Brandie  Siegfried,English department,"Chandrasekharpur, Bhubaneswar",3.9,42.9,NAY
Klaas  Kraay,Philosophy department,"Gandamunda, Pokhariput, Bhubaneswar",4.5,4.5,NAY
Shahinda  Hafeez,Mathematics department,"Airport Rd, Aerodrome Area, Bhubaneswar",3.5,7,NAY
Camilla  Griggers,Women\'s Studies department,"Satya Nagar, Bhubaneswar",3.3,0,NAY
Larry  Hardy,Mathematics department,"Ashok Nagar, Bhubaneswar",2.5,15,NAY
Beth  Hilburn,History department,"Airport Rd, Aerodrome Area, Bhubaneswar",4.9,4.9,NAY
Brian  George,Not Specified department,"Satya Nagar, Bhubaneswar",3.6,43.2,NAY
Philip  Burge,Psychology department,"Acharya Vihar, Doordarshan Colony, Gajapati Nagar, Bhubaneswar",3.8,38,NAY
Jeffrey  Nielsen,Philosophy department,"Chandrasekharpur, Bhubaneswar",4.4,35.2,NAY
Richard  Fallon,Law department,"barapita,odisha",4.4,48.4,NAY
Donna  Woolard,Health Science department,"Lingaraj Nagar, Old Town, Bhubaneswar",4.5,58.5,NAY
Phil  Matheson,Physics department,"Chandrasekharpur, Bhubaneswar",3.6,32.4,NAY
Susan  Murray,Communication department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",4,56,NAY
Barbara  Von Barghahn-Calvetti,Art History department,"BMC Bhawani Mall,Ground Floor,Inox Block, Saheed Nagar, Bhubaneswar",4.6,46,NAY
Joseph  Fruscione,Writing department,"BMC Bhawani Mall,Ground Floor,Inox Block, Saheed Nagar, Bhubaneswar",3.7,33.3,NAY
Linda  Shelton,English department,"Chandrasekharpur, Bhubaneswar",4.1,20.5,NAY
Aurora  Wallace,Communication department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",3.6,46.8,NAY
Ted  Magder,Communication department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",3.8,22.8,NAY
Darren  Hynes,History department,"Technology Corridor, Infocity, Chandrasekharpur, Bhubaneswar",2.8,11.2,NAY
Rachelle  Sussman,Communication department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",4.1,36.9,NAY
Dion  Wiseman,Geography department,"Technology Corridor, Infocity, Chandrasekharpur, Bhubaneswar",3.7,55.5,NAY
Sue  Collins,Communication department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",3.5,21,NAY
Catherine  Chen,Business department,"Khandagiri, Bhubaneswar",3.9,46.8,NAY
Terry  Moran,Communication department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",3,21,NAY
William  Stoever,Religion department,"Prakriti Tower,Patia, Bhubaneswar, ",3.2,12.8,NAY
Paul  Sparks,Fine Arts department,"Prakriti Tower,Patia, Bhubaneswar, ",3.3,29.7,NAY
Jon  Brotherton,Music department,"Lingaraj Nagar, Old Town, Bhubaneswar",4.1,57.4,NAY
Clyde  Matthews,Political Science department,"Infocity Ave, P.S.- New Capital, Patia, Bhubaneswar",2.8,16.8,NAY
Rogers,Biology department,"Bindu Sagar, Old Town, Bhubaneswar",2.7,21.6,NAY
Therese  Saliba,Humanities department,"Prakriti Tower,Patia, Bhubaneswar, ",4,32,NAY
Eva  Sadowski,Geography department,"Technology Corridor, Infocity, Chandrasekharpur, Bhubaneswar",2.9,8.7,NAY
David  Keswick,Linguistics department,"Bindu Sagar, Old Town, Bhubaneswar",5,10,NAY
Hwan  Kim,Business department,"Chandaka Industrial Estate, K I I T University, Patia, Bhubaneswar",2.9,5.8,NAY
Sam  Roweis,Computer Science department,"Gandamunda, Pokhariput, Bhubaneswar",4.5,9,NAY
Robert  Burton,English department,"Barang Station, Barang, Bhubaneswar",3.6,28.8,NAY
Patricia  Mancini,Biology department,"barapita,odisha",3.8,19,NAY
Christopher  Zepeda,Physical Ed department,"Barang Station, Barang, Bhubaneswar",4.5,0,NAY
Karlene  Ferrante,Communication department,"Nalco Bhavan, P/Chandaka Industrial Estate, K I I T University, Patia, Bhubaneswar, Nayapalli, Bhubaneswar",3.6,39.6,NAY
Elizabeth  Spievak,Psychology department,"barapita,odisha",2.9,23.2,NAY
William  Goldstein,Psychology department,"Chandaka Industrial Estate, K I I T University, Patia, Bhubaneswar",3.8,15.2,NAY
John  Everitt,Geography department,"Technology Corridor, Infocity, Chandrasekharpur, Bhubaneswar",3.7,18.5,NAY
C  Wolfe,Biology department,"Lingaraj Nagar, Old Town, Bhubaneswar",2.9,8.7,NAY
Jessica  Hartos,Health Science department,"Lingaraj Nagar, Old Town, Bhubaneswar",4,16,NAY
Todd  Feil,Computer Science department,"Forest Park, Bhubaneswar",3.9,31.2,NAY
Matthew  Neal,Mathematics department,"Forest Park, Bhubaneswar",3.7,48.1,NAY
Larice  Brown,Economics department,"Forest Park, Bhubaneswar",4.4,8.8,NAY
John  Gallaher,English department,"BMC Bhawani Mall, Maharishi College Rd, Saheed Nagar, Bhubaneswar",4.6,46,NAY
Anthony  Stewart,English department,"Sijua, Patrapada, Bhubaneswar",4,16,NAY
Derek  Eberts,Geography department,"Technology Corridor, Infocity, Chandrasekharpur, Bhubaneswar",2.7,32.4,NAY
Ron  Cameron,Theology department,"Lumbini Vihar, Neeladri Vihar, Chandrasekharpur, Bhubaneswar",3.9,54.6,NAY
Rachel  Hall,Mathematics department,"Satya Nagar, Bhubaneswar",2.5,32.5,NAY
Lorelle  Semley,History department,"Lumbini Vihar, Neeladri Vihar, Chandrasekharpur, Bhubaneswar",2.7,32.4,NAY
Theodore  Zeman,History department,"Satya Nagar, Bhubaneswar",3.6,36,NAY
Jennifer  Austin,Music department,"plot no, barapita,odishaChandaka Industrial Estate, K I I T University, Patia, Bhubaneswar, Sainik School Rd, Unit Lingaraj Nagar, Old Town, Bhubaneswar, Gajapati Nagar, Bhubaneswar,",4.7,61.1,NAY
Julie  Giles,Business department,"Chandaka Industrial Estate, K I I T University, Patia, Bhubaneswar",3.7,11.1,NAY
Tom  Sill,Accounting department,"Prakriti Tower,Patia, Bhubaneswar, ",3.3,23.1,NAY
Craig  Estep,Music department,"plot no, barapita,odishaChandaka Industrial Estate, K I I T University, Patia, Bhubaneswar, Sainik School Rd, Unit Lingaraj Nagar, Old Town, Bhubaneswar, Gajapati Nagar, Bhubaneswar,",4.8,14.4,NAY
Roderick  McGinn,Geography department,"Technology Corridor, Infocity, Chandrasekharpur, Bhubaneswar",2.9,34.8,NAY
Klara  Gubacs-Collins,Physical Ed department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, Bhubaneswar",4.2,58.8,NAY
Tomoko  Deguchi,Music department,"plot no, barapita,odishaChandaka Industrial Estate, K I I T University, Patia, Bhubaneswar, Sainik School Rd, Unit Lingaraj Nagar, Old Town, Bhubaneswar, Gajapati Nagar, Bhubaneswar,",3.3,46.2,NAY
Anita  Girton,Computer Science department,"Satya Nagar, Bhubaneswar",3.5,42,NAY
